""	"L617_KO1"	"L618_KO2"	"L619_KO3"	"L620_WT1"	"L621_WT2"	"L622_WT3"	"gene_name"
"ENSMUSG00000083327"	409.417627739884	324.124775872619	390.495689212045	384.76888928147	368.558720062324	393.833533491303	"Vcp-rs"
"ENSMUSG00000083328"	75.5577596258155	107.647279578132	107.194895077816	75.6122698429513	82.0421808357912	103.910476263178	"Gm11826"
"ENSMUSG00000083335"	0	0	0	0.609776369701221	0	0	"Gm13397"
"ENSMUSG00000083337"	0.87857860030018	1.18293713822124	2.87129183244151	1.21955273940244	3.78656219242113	1.28284538596516	"Gm11539"
"ENSMUSG00000083338"	5.27147160180108	3.54881141466371	5.74258366488302	3.65865821820732	7.57312438484226	2.56569077193031	"Gm12475"
"ENSMUSG00000083344"	0	0	0.957097277480503	1.21955273940244	0	1.28284538596516	"Gm7363"
"ENSMUSG00000083353"	0.87857860030018	1.18293713822124	0	0	1.26218739747371	1.28284538596516	"Gm12540"
"ENSMUSG00000083356"	0	2.36587427644247	0	0	0	0	"Gm11708"
"ENSMUSG00000083362"	0.87857860030018	2.36587427644247	0	0	1.26218739747371	0	"Gm8606"
"ENSMUSG00000083364"	16.6929934057034	16.5611199350973	17.227750994649	17.6835147213354	18.9328109621057	23.0912169473728	"Gm14535"
"ENSMUSG00000083367"	118.608111040524	100.549656748805	124.422646072465	106.710864697714	111.072490977687	118.021775508794	"Gm8806"
"ENSMUSG00000083372"	4.3928930015009	2.36587427644247	1.91419455496101	3.65865821820732	1.26218739747371	6.41422692982578	"Gm11235"
"ENSMUSG00000083373"	3.51431440120072	4.73174855288494	0.957097277480503	3.0488818485061	6.31093698736855	3.84853615789547	"Gm13392"
"ENSMUSG00000083374"	0	0	0	0	0	1.28284538596516	"Gm11449"
"ENSMUSG00000083375"	0	0	0	0	0	1.28284538596516	"Gm15057"
"ENSMUSG00000083377"	0	0	0	0.609776369701221	0	0	"Gm12653"
"ENSMUSG00000083378"	1.75715720060036	2.36587427644247	2.87129183244151	1.21955273940244	1.26218739747371	0	"Gm13196"
"ENSMUSG00000083379"	0	0	0	0	1.26218739747371	0	"Gm4919"
